'Blueberries' Buckshot | NSWC SEAL//176209284
'Medium Rare' Crasswater | Guerrilla Warfare//176262691
'The Doctor' Romanov | Sabre//176096416
'Two Times' McCoy | TACP Cavalry//176209278
'Two Times' McCoy | USAF TACP//176096507
1st Lieutenant Farlow | SWAT//176209283
3rd Commando Company | KSK//176096555
Aces High Pin//175970598
AK-47 | Aquamarine Revenge (Battle-Scarred)//49359087
AK-47 | Aquamarine Revenge (Factory New)//49399568
AK-47 | Aquamarine Revenge (Field-Tested)//49399542
AK-47 | Aquamarine Revenge (Minimal Wear)//49399558
AK-47 | Aquamarine Revenge (Well-Worn)//49399548
AK-47 | Asiimov (Battle-Scarred)//176024898
AK-47 | Asiimov (Factory New)//176024903
AK-47 | Asiimov (Field-Tested)//176024796
AK-47 | Asiimov (Minimal Wear)//176024804
AK-47 | Asiimov (Well-Worn)//176024971
AK-47 | Baroque Purple (Battle-Scarred)//176096763
AK-47 | Baroque Purple (Factory New)//176096831
AK-47 | Baroque Purple (Field-Tested)//176096588
AK-47 | Baroque Purple (Minimal Wear)//176096521
AK-47 | Baroque Purple (Well-Worn)//176096413
AK-47 | Black Laminate (Field-Tested)//1321767
AK-47 | Black Laminate (Minimal Wear)//1321591
AK-47 | Bloodsport (Factory New)//175880418
AK-47 | Bloodsport (Field-Tested)//175880324
AK-47 | Bloodsport (Minimal Wear)//175880372
AK-47 | Bloodsport (Well-Worn)//175880521
AK-47 | Blue Laminate (Factory New)//3440920
AK-47 | Blue Laminate (Field-Tested)//3440896
AK-47 | Blue Laminate (Minimal Wear)//3441225
AK-47 | Blue Laminate (Well-Worn)//3450069
AK-47 | Cartel (Battle-Scarred)//29205255
AK-47 | Cartel (Factory New)//29209315
AK-47 | Cartel (Field-Tested)//29205276
AK-47 | Cartel (Minimal Wear)//29207451
AK-47 | Cartel (Well-Worn)//29209309
AK-47 | Case Hardened (Battle-Scarred)//1321618
AK-47 | Case Hardened (Field-Tested)//1321632
AK-47 | Case Hardened (Well-Worn)//1321515
AK-47 | Elite Build (Battle-Scarred)//40092009
AK-47 | Elite Build (Factory New)//40092070
AK-47 | Elite Build (Field-Tested)//40092015
AK-47 | Elite Build (Minimal Wear)//40092004
AK-47 | Elite Build (Well-Worn)//40092002
AK-47 | Emerald Pinstripe (Battle-Scarred)//8991001
AK-47 | Emerald Pinstripe (Factory New)//8995371
AK-47 | Emerald Pinstripe (Field-Tested)//8989555
AK-47 | Emerald Pinstripe (Minimal Wear)//8989559
AK-47 | Emerald Pinstripe (Well-Worn)//8990303
AK-47 | First Class (Battle-Scarred)//14959383
AK-47 | First Class (Field-Tested)//14959385
AK-47 | Frontside Misty (Battle-Scarred)//67061050
AK-47 | Frontside Misty (Factory New)//67073987
AK-47 | Frontside Misty (Field-Tested)//67060996
AK-47 | Frontside Misty (Minimal Wear)//67064066
AK-47 | Frontside Misty (Well-Worn)//67061031
AK-47 | Fuel Injector (Battle-Scarred)//139673183
AK-47 | Fuel Injector (Field-Tested)//139654861
AK-47 | Fuel Injector (Minimal Wear)//139673158
AK-47 | Fuel Injector (Well-Worn)//139673165
AK-47 | Green Laminate (Factory New)//176262729
AK-47 | Green Laminate (Field-Tested)//176262981
AK-47 | Green Laminate (Minimal Wear)//176263174
AK-47 | Head Shot (Battle-Scarred)//176358858
AK-47 | Head Shot (Factory New)//176358933
AK-47 | Head Shot (Field-Tested)//176358849
AK-47 | Head Shot (Minimal Wear)//176358850
AK-47 | Head Shot (Well-Worn)//176358868
AK-47 | Ice Coaled (Battle-Scarred)//176321231
AK-47 | Ice Coaled (Factory New)//176321295
AK-47 | Ice Coaled (Field-Tested)//176321254
AK-47 | Ice Coaled (Minimal Wear)//176321169
AK-47 | Ice Coaled (Well-Worn)//176321313
AK-47 | Jaguar (Battle-Scarred)//15494465
AK-47 | Jaguar (Field-Tested)//15494472
AK-47 | Jaguar (Minimal Wear)//15492599
AK-47 | Jaguar (Well-Worn)//15494476
AK-47 | Jungle Spray (Battle-Scarred)//1321830
AK-47 | Jungle Spray (Field-Tested)//1321376
AK-47 | Jungle Spray (Minimal Wear)//1321695
AK-47 | Jungle Spray (Well-Worn)//1321706
AK-47 | Leet Museo (Battle-Scarred)//176263014
AK-47 | Leet Museo (Factory New)//176262734
AK-47 | Leet Museo (Field-Tested)//176262628
AK-47 | Leet Museo (Minimal Wear)//176263035
AK-47 | Leet Museo (Well-Worn)//176263142
AK-47 | Legion of Anubis (Battle-Scarred)//176185962
AK-47 | Legion of Anubis (Factory New)//176186023
AK-47 | Legion of Anubis (Field-Tested)//176185973
AK-47 | Legion of Anubis (Minimal Wear)//176186016
AK-47 | Legion of Anubis (Well-Worn)//176186024
AK-47 | Neon Revolution (Battle-Scarred)//165027696
AK-47 | Neon Revolution (Factory New)//165052979
AK-47 | Neon Revolution (Field-Tested)//165031020
AK-47 | Neon Revolution (Minimal Wear)//165034155
AK-47 | Neon Revolution (Well-Worn)//165114532
AK-47 | Neon Rider (Battle-Scarred)//176000017
AK-47 | Neon Rider (Factory New)//176000064
AK-47 | Neon Rider (Field-Tested)//176000020
AK-47 | Neon Rider (Minimal Wear)//175999901
AK-47 | Neon Rider (Well-Worn)//176000271
AK-47 | Nightwish (Battle-Scarred)//176288611
AK-47 | Nightwish (Factory New)//176288668
AK-47 | Nightwish (Field-Tested)//176288571
AK-47 | Nightwish (Minimal Wear)//176288589
AK-47 | Nightwish (Well-Worn)//176288618
AK-47 | Orbit Mk01 (Factory New)//175896288
AK-47 | Orbit Mk01 (Field-Tested)//175896286
AK-47 | Orbit Mk01 (Minimal Wear)//175896327
AK-47 | Panthera onca (Field-Tested)//176209428
AK-47 | Panthera onca (Minimal Wear)//176209663
AK-47 | Panthera onca (Well-Worn)//176209646
AK-47 | Phantom Disruptor (Battle-Scarred)//176118362
AK-47 | Phantom Disruptor (Factory New)//176118394
AK-47 | Phantom Disruptor (Field-Tested)//176118358
AK-47 | Phantom Disruptor (Minimal Wear)//176118310
AK-47 | Phantom Disruptor (Well-Worn)//176118433
AK-47 | Point Disarray (Battle-Scarred)//84444501
AK-47 | Point Disarray (Factory New)//84454650
AK-47 | Point Disarray (Field-Tested)//84444477
AK-47 | Point Disarray (Minimal Wear)//84454619
AK-47 | Point Disarray (Well-Worn)//84454681
AK-47 | Predator (Battle-Scarred)//1321637
AK-47 | Predator (Field-Tested)//1321395
AK-47 | Predator (Minimal Wear)//1321582
AK-47 | Predator (Well-Worn)//1321490
AK-47 | Rat Rod (Battle-Scarred)//176096393
AK-47 | Rat Rod (Factory New)//176096532
AK-47 | Rat Rod (Field-Tested)//176096433
AK-47 | Rat Rod (Minimal Wear)//176096494
AK-47 | Rat Rod (Well-Worn)//176096467
AK-47 | Red Laminate (Battle-Scarred)//1321656
AK-47 | Red Laminate (Field-Tested)//1321457
AK-47 | Red Laminate (Minimal Wear)//1321519
AK-47 | Red Laminate (Well-Worn)//1321677
AK-47 | Redline (Battle-Scarred)//7179463
AK-47 | Redline (Field-Tested)//7178002
AK-47 | Redline (Minimal Wear)//7179644
AK-47 | Redline (Well-Worn)//7181849
AK-47 | Safari Mesh (Battle-Scarred)//2386336
AK-47 | Safari Mesh (Factory New)//2416006
AK-47 | Safari Mesh (Field-Tested)//2384364
AK-47 | Safari Mesh (Minimal Wear)//2383770
AK-47 | Safari Mesh (Well-Worn)//2385231
AK-47 | Safety Net (Battle-Scarred)//176012517
AK-47 | Safety Net (Factory New)//176012468
AK-47 | Safety Net (Field-Tested)//176012489
AK-47 | Safety Net (Minimal Wear)//176012649
AK-47 | Safety Net (Well-Worn)//176012497
AK-47 | Slate (Battle-Scarred)//176241006
AK-47 | Slate (Factory New)//176241005
AK-47 | Slate (Field-Tested)//176241017
AK-47 | Slate (Minimal Wear)//176241022
AK-47 | Slate (Well-Worn)//176240977
AK-47 | Steel Delta (Battle-Scarred)//176369952
AK-47 | Steel Delta (Factory New)//176369957
AK-47 | Steel Delta (Field-Tested)//176369924
AK-47 | Steel Delta (Minimal Wear)//176369917
AK-47 | Steel Delta (Well-Worn)//176369976
AK-47 | The Empress (Battle-Scarred)//175917396
AK-47 | The Empress (Factory New)//175917395
AK-47 | The Empress (Field-Tested)//175917356
AK-47 | The Empress (Minimal Wear)//175917391
AK-47 | The Empress (Well-Worn)//175917420
AK-47 | Uncharted (Battle-Scarred)//176042517
